Row,location,time,rating,duration
1,eastus,2021-11-17T04:45:11+00:00,59,08:00:00
2,eastus,2021-11-17T12:45:11+00:00,58,08:00:00
3,eastus,2021-11-17T20:45:11+00:00,15,08:00:00
4,eastus,2021-11-18T04:45:11+00:00,77,08:00:00
5,eastus,2021-11-18T12:45:11+00:00,10,08:00:00
6,eastus,2021-11-18T20:45:11+00:00,62,08:00:00
7,eastus,2021-11-19T04:45:11+00:00,7,08:00:00
8,eastus,2021-11-19T12:45:11+00:00,79,08:00:00
9,eastus,2021-11-19T20:45:11+00:00,70,08:00:00
10,eastus,2021-11-20T04:45:11+00:00,23,08:00:00
11,eastus,2021-11-20T12:45:11+00:00,81,08:00:00
12,eastus,2021-11-20T20:45:11+00:00,28,08:00:00
13,eastus,2021-11-21T04:45:11+00:00,17,08:00:00
14,eastus,2021-11-21T12:45:11+00:00,23,08:00:00
15,eastus,2021-11-21T20:45:11+00:00,86,08:00:00
16,eastus,2021-11-22T04:45:11+00:00,66,08:00:00
17,eastus,2021-11-22T12:45:11+00:00,98,08:00:00
18,eastus,2021-11-22T20:45:11+00:00,33,08:00:00
19,eastus,2021-11-23T04:45:11+00:00,40,08:00:00
20,eastus,2021-11-23T12:45:11+00:00,62,08:00:00
21,eastus,2021-11-23T20:45:11+00:00,18,08:00:00
22,eastus,2021-11-24T04:45:11+00:00,23,08:00:00
23,eastus,2021-11-24T12:45:11+00:00,67,08:00:00
24,eastus,2021-11-24T20:45:11+00:00,15,08:00:00
25,eastus,2021-11-25T04:45:11+00:00,38,08:00:00
26,eastus,2021-11-25T12:45:11+00:00,62,08:00:00
27,eastus,2021-11-25T20:45:11+00:00,83,08:00:00
28,eastus,2021-11-26T04:45:11+00:00,82,08:00:00
29,eastus,2021-11-26T12:45:11+00:00,58,08:00:00
30,eastus,2021-11-26T20:45:11+00:00,39,08:00:00
31,eastus,2021-11-27T04:45:11+00:00,36,08:00:00
32,eastus,2021-11-27T12:45:11+00:00,0,08:00:00
33,eastus,2021-11-27T20:45:11+00:00,17,08:00:00
34,eastus,2021-11-28T04:45:11+00:00,69,08:00:00
35,eastus,2021-11-28T12:45:11+00:00,67,08:00:00
36,eastus,2021-11-28T20:45:11+00:00,73,08:00:00
37,eastus,2021-11-29T04:45:11+00:00,0,08:00:00
38,eastus,2021-11-29T12:45:11+00:00,90,08:00:00
39,eastus,2021-11-29T20:45:11+00:00,16,08:00:00
40,eastus,2021-11-30T04:45:11+00:00,83,08:00:00
41,eastus,2021-11-30T12:45:11+00:00,72,08:00:00
42,eastus,2021-11-30T20:45:11+00:00,57,08:00:00
43,eastus,2021-12-01T04:45:11+00:00,19,08:00:00
44,eastus,2021-12-01T12:45:11+00:00,64,08:00:00
45,eastus,2021-12-01T20:45:11+00:00,21,08:00:00
46,eastus,2021-12-02T04:45:11+00:00,27,08:00:00
47,eastus,2021-12-02T12:45:11+00:00,82,08:00:00
48,eastus,2021-12-02T20:45:11+00:00,39,08:00:00
49,eastus,2021-12-03T04:45:11+00:00,67,08:00:00
50,eastus,2021-12-03T12:45:11+00:00,23,08:00:00
51,eastus,2021-12-03T20:45:11+00:00,31,08:00:00
52,eastus,2021-12-04T04:45:11+00:00,22,08:00:00
53,eastus,2021-12-04T12:45:11+00:00,8,08:00:00
54,eastus,2021-12-04T20:45:11+00:00,77,08:00:00
55,eastus,2021-12-05T04:45:11+00:00,71,08:00:00
56,eastus,2021-12-05T12:45:11+00:00,36,08:00:00
57,eastus,2021-12-05T20:45:11+00:00,90,08:00:00
58,eastus,2021-12-06T04:45:11+00:00,0,08:00:00
59,eastus,2021-12-06T12:45:11+00:00,38,08:00:00
60,eastus,2021-12-06T20:45:11+00:00,48,08:00:00
61,eastus,2021-12-07T04:45:11+00:00,79,08:00:00
62,eastus,2021-12-07T12:45:11+00:00,24,08:00:00
63,eastus,2021-12-07T20:45:11+00:00,20,08:00:00
64,eastus,2021-12-08T04:45:11+00:00,30,08:00:00
65,eastus,2021-12-08T12:45:11+00:00,87,08:00:00
66,eastus,2021-12-08T20:45:11+00:00,81,08:00:00
67,eastus,2021-12-09T04:45:11+00:00,11,08:00:00
68,eastus,2021-12-09T12:45:11+00:00,47,08:00:00
69,eastus,2021-12-09T20:45:11+00:00,56,08:00:00
70,eastus,2021-12-10T04:45:11+00:00,13,08:00:00
71,eastus,2021-12-10T12:45:11+00:00,65,08:00:00
72,eastus,2021-12-10T20:45:11+00:00,8,08:00:00
73,eastus,2021-12-11T04:45:11+00:00,16,08:00:00
74,eastus,2021-12-11T12:45:11+00:00,56,08:00:00
75,eastus,2021-12-11T20:45:11+00:00,90,08:00:00
76,eastus,2021-12-12T04:45:11+00:00,60,08:00:00
77,eastus,2021-12-12T12:45:11+00:00,3,08:00:00
78,eastus,2021-12-12T20:45:11+00:00,2,08:00:00
79,eastus,2021-12-13T04:45:11+00:00,93,08:00:00
80,eastus,2021-12-13T12:45:11+00:00,10,08:00:00
81,eastus,2021-12-13T20:45:11+00:00,79,08:00:00
82,eastus,2021-12-14T04:45:11+00:00,43,08:00:00
83,eastus,2021-12-14T12:45:11+00:00,15,08:00:00
84,eastus,2021-12-14T20:45:11+00:00,35,08:00:00
85,eastus,2021-12-15T04:45:11+00:00,8,08:00:00
86,eastus,2021-12-15T12:45:11+00:00,13,08:00:00
87,eastus,2021-12-15T20:45:11+00:00,91,08:00:00
88,eastus,2021-12-16T04:45:11+00:00,39,08:00:00
89,eastus,2021-12-16T12:45:11+00:00,98,08:00:00
90,eastus,2021-12-16T20:45:11+00:00,31,08:00:00
91,eastus,2021-12-17T04:45:11+00:00,83,08:00:00
92,eastus,2021-12-17T12:45:11+00:00,99,08:00:00
93,eastus,2021-12-17T20:45:11+00:00,51,08:00:00
94,eastus,2021-12-18T04:45:11+00:00,67,08:00:00
95,eastus,2021-12-18T12:45:11+00:00,4,08:00:00
96,eastus,2021-12-18T20:45:11+00:00,48,08:00:00
97,eastus,2021-12-19T04:45:11+00:00,36,08:00:00
98,eastus,2021-12-19T12:45:11+00:00,89,08:00:00
99,eastus,2021-12-19T20:45:11+00:00,77,08:00:00
100,eastus,2021-12-20T04:45:11+00:00,40,08:00:00
101,eastus,2021-12-20T12:45:11+00:00,16,08:00:00
102,eastus,2021-12-20T20:45:11+00:00,35,08:00:00
103,eastus,2021-12-21T04:45:11+00:00,83,08:00:00
104,eastus,2021-12-21T12:45:11+00:00,54,08:00:00
105,eastus,2021-12-21T20:45:11+00:00,57,08:00:00
106,eastus,2021-12-22T04:45:11+00:00,22,08:00:00
107,eastus,2021-12-22T12:45:11+00:00,5,08:00:00
108,eastus,2021-12-22T20:45:11+00:00,51,08:00:00
109,eastus,2021-12-23T04:45:11+00:00,87,08:00:00
110,eastus,2021-12-23T12:45:11+00:00,10,08:00:00
111,eastus,2021-12-23T20:45:11+00:00,32,08:00:00
112,eastus,2021-12-24T04:45:11+00:00,87,08:00:00
113,eastus,2021-12-24T12:45:11+00:00,6,08:00:00
114,eastus,2021-12-24T20:45:11+00:00,27,08:00:00
115,eastus,2021-12-25T04:45:11+00:00,69,08:00:00
116,eastus,2021-12-25T12:45:11+00:00,35,08:00:00
117,eastus,2021-12-25T20:45:11+00:00,9,08:00:00
